Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Teleport Tracer;Evoc;;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One teleportation spell;Instantaneous;None;Learn the destination of the most recent teleportation spell within the area.
Teleportation Circle;Conj;;9;10 minutes;0 ft.;Effect;5-ft.-radius circle that teleports those who activate it;10 min./level (D);None;Circle teleports any creature inside to designated spot.
Temporal Stasis;Tran;;8;1 standard action;Touch;Target;Creature touched;Permanent;Fortitude negates;Puts subject into suspended animation.
Temporary Soul Binding;Conj;;1;1 round;Touch;Targets;1 Creature and 1 item;1 min./level or until discharged;Will negates (harmless, object);An item is temporarily soul bound to the subject.
Tern's Persistence;Tran;;2;1 standard action;Touch;Target;Creature touched;1 day;Will negates (harmless);Subject can travel overland 50% longer without fatigue.
The Hamagess' Staffsprout;Tran;;6;1 minute;Touch;Target;One magical staff;Instantaneous;Will negates;Creates short-lived wands of 1 charge from a staff.
Theskyn's Hearty Heave;Evoc;Force;2;1 standard action;10 ft.;Targets;One creature/three levels;Instantaneous;None;Blast of force pushes away creatures surrounding you as though via a bull rush maneuver by a foe of Large size with a Strength score equal to 20 + your caster level (max 25).
Thief Ward;Abj;;2;1 standard action;Personal;Area;50-ft.-diameter sphere centered on you;1 min./level;None;All Hide and Move Silently checks suffer a -10 penalty.
Thin Air;Necr;Cold;3;1 standard action;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius emanation;1 min./level;Fortitude negates;Creatures suffer from altitude sickness.
Threshold of Unlife;Necr;Negative;6;30 minuets;100 ft.;Area;100 ft.;Permanent (D);None;Creata a shadowy area that hinders the living and helps the dead
Thunderlance;Evoc;Force;4;1 standard action;0 ft.;Effect;A spearlike beam;1 round/level (D);None;Lance of force deals 1d6 damage, plus can dispel force effects.
Tiny Hut;Evoc;Force;3;1 standard action;20 ft.;Effect;20-ft.-radius sphere centered on your location;2 hours/level (D);None;Creates shelter for ten creatures.
Tomb of Light;Tran;Good;7;1 round;Touch;Target;Evil extraplanar creature touched;Concentration;Fortitude partial;Entraps and harms evil extraplanar creatures.
Tongue of Angels;Tran;Good;0;1 standard action;Personal;Target;You;1 round/level;None (harmless);You can speak Celestial.
Tongue of Fiends;Tran;Evil;0;1 standard action;Personal;Target;You;1 round/level;None (harmless);You can speak Infernal.
Tongue Serpents;Tran;Evil;3;1 standard action;Personal;Target;You;1 hour/level or until discharged;;You spit out one Tiny viper/4 levels.
Tongue Tendrils;Tran;Evil;1;1 standard action;Personal;Target;You;1 hour/level or until discharged;;You spit out tendrils that grapple.
Tongues;Div;;3;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);Speak any language.
Toothed Tentacle;Evoc;;2;1 standard action;Personal;Effect;30-ft.-long tentacle extending from your hand;Concentration, up to 1 round/level (D);;Shadowy tentacle ending in three mouths (each AC 15, hp 10 + your caster level) projects from your hand. The mouths can strike foes within 10 feet of each other independently, dealing 2d6 points of damage each.
Torment;Evoc;Evil;7;3 rounds;Personal;Target;You;1 day;;Similar to dolor but causes greater pain.
Tormenting Thirst;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 round/level;Will negates;Subject is overwhelmed by thirst.
Touch of Adamantine;Tran;;5;1 standard action;Touch;Target;Weapon touched;1 min./level;Will negates (harmless, object);Weapon gains the properties of an adamantime weapon.
Touch of Fatigue;Necr;Negative;0;1 standard action;Touch;Target;Creature touched;1 round/level;Fortitude negates;Touch attack fatigues target.
Touch of Idiocy;Ench;Mind-Affecting;2;1 standard action;Touch;Target;Living creature touched;10 min./level;None;Subject takes 1d6 points of Int, Wis, and Cha damage.
Touchstone Lightning;Tran;Electricity;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One or more rays of electricity;Instantaneous;None;Use your planar touchstone-granted higher-order abilities to fuel damaging rays.
Toxic Weapon;Conj;;5;1 standard action;Touch;Target;Piercing or slashing weapon touched;1 hour or until discharged;Fortitude negates;Coats weapon with poison.
Trait Removal;Tran;;5;1 hour;Touch;Target;One touched living creature;1 hour/level;Fortitude negates;Temporarily remove one extraordinary or supernatural ability from the target creature.
Transcribe Symbol;Abj;;8;1 standard action;Touch;Target;Magic symbol touched;10 min. or until discharged;None;Safely moves an untriggered magical symbol to another location.
Transfix;Ench;Mind-Affecting;6;1 round;Medium (100 ft. + 10 ft./level);Area;One or more humanoids within a 10-ft.-radius emanation;1 hour/level;Will negates;Medium or smaller targets are paralyzed.
Transformation;Tran;;6;1 standard action;Personal;Target;You;1 round/level;;You gain combat bonuses.
Transformation of the Deeps;Tran;;5;1 standard action;Touch;Target;One creature/3 levels;1 hour/level (D);None;Grant water breathing, darkvision, and pressure immunity to one creature/3 levels.
Transmute Mud to Rock;Tran;Earth;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;Up to two 10-ft. cubes/level (S);Permanent;See text;Transforms two 10-ft. cubes per level.
Transmute Sand to Glass;Tran;Earth;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;Up to two 10-ft. cubes/level (S);Permanent;See text;Transforms two 10-ft. cubes per level.
Transmute Sand to Stone;Tran;Earth;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;Up to two 10-ft. cubes/level (S);Permanent;See text;Transforms two 10-ft. cubes per level.
Transmute Stone to Sand;Tran;Earth;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;Up to two 10-ft. cubes/level (S);Permanent;See text;Transforms two 10-ft. cubes per level.
Trembling Horn Marker;Illu;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;10 min./level (D);Will negates (harmless);Marks target with an invisible horn, which sounds when near a Watchman's horn.
Tremorsense;Tran;;3;1 standard action;Personal;Target;You;10 min./level (D);Will negates (harmless);Grants tremorsense to a range of 30 feet.
True Casting;Div;;3;1 round;Personal;Target;You;See text;;You get a +10 to your next Casting Roll.
True Seeing;Div;;6;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Lets you see all things as they really are.
True Strike;Div;;1;1 standard action;Personal;Target;You;See text;;+20 on your next attack roll.
Turbidity;Abj;;2;1 standard action;20 ft.;Area;20-ft.-radius spread centered on you;1 min./level;None;Water surrounding you becomes cloudy, granting concealment.
Unbinding;Abj;;9;1 round;180 ft.;Area;180-ft.-radius burst, centered on you;Instantaneous;None;Frees everyone in range from spells that constrain or bind.
Undaunted Fixture;Tran;;2;1 standard action;Touch;Target;Two objects (see below);Permanent;None;Two objects cannot be separated except by a DC 30 strength check.  Objects may break first.
Undead Couduit;Necr;;3;1 standard action;Medium (100 ft. + 10 ft./level);Target;One undead creature;1 min./level;None;Cast necromatic spells through your undead.
Undead Lieutenant;Necr;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One undead;1 min./level;Will negates (harmless);Targeted undead can give orders to undead in your control.
Undead Torch;Necr;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One corporeal undead;1 round/level;Will negates (harmless);Undead creature gains blue aura that gives +2d4 against living creatures.
Undeath to Death;Necr;;6;1 standard action;Medium (100 ft. + 10 ft./level);Area;Several undead creatures within a 40-ft.-radius burst;Instantaneous;Will negates;Destroys 1d4 HD/level undead (max 20d4).
Undeniable Gravity;Tran;;2;1 standard action;Long (400 ft. + 40 ft./level);Target;One flying creature;1 min./level;Will negates;Flying creature loses flying ability.
Undermaster;Tran;Earth;9;1 standard action;Personal;Target;You;1 round/level;;You gain earth-related spell-like abilities.
Understand Object;Div;;2;1 minute;Touch;Targets;One touched object;Instantaneous;None;Determine the non-magical functions of an object or technological item.
Undertow;Tran;;2;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius burst;Instantaneous;Fortitude negates;Cause water to splash out of containers or Stun creatures in large bodies of water for 1 round.
Undulant Innards;Tran;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;None;Gain immunity to extra damage from critical hits and sneak attacks.
Unfettered Grasp;Ench;Mind-Affecting;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One grappling or pinned creature;Instantaneous;None;Grappling creature immediately gains free attempt to escape.
Unfettered Heroism;Tran;;5;1 immediate action;Personal;Target;You;1 round/level;;Spend more than one action point per round plus gain one free action point per round.
Unheavened;Abj;Evil;2;1 standard action;Touch;Target;One creature;10 min./level;Will negates (harmless);Subject gains +4 save bonus again powers of good outsiders.
Unluck;Div;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;Will negates;All actions involving random elements are rolled twice and the worse roll is used.
Unnerving Gaze;Illu;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One humanoid creature;1 round/level;Will negates;Subject takes -1 penalty on attacks.
Unravel;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature/3 levels;Instantaneous;Fortitude negates (object);Unravels targets cloths, entangleing them.
Unseen Crafter;Conj;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One invisible, mindless, shapeless servant;1 day/level (D);None;Invisible force obeys your command and can use the Craft skill.
Unseen Servant;Conj;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One invisible, mindless, shapeless servant;1 hour/level;None;Invisible force obeys your commands.
Utterdark;Conj;Evil;9;3 rounds;Close (25 ft. + 5 ft./2 levels);Area;100-ft./level radius spread, centered on you;1 hour/level;None;100-ft/level radius of darkness that evil creatures can see through.
Veil of Shadow;Evoc;Darkness;2;1 standard action;Personal;Target;You;1 min./level;;Darkness grants you concealment.
Veil of Undeath;Necr;Evil;8;1 standard action;Personal;Target;You;10 min./level;;You gain undead traits.
Vengeful Mount;Ench;Mind-Affecting;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One animal;Instantaneous;Will negates;Makes an animal more difficult to ride or handle.
Ventriloquism;Illu;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Intelligible sound, usually speech;1 min./level (D);Will disbelief (if interacted with);Throws voice for 1 min./level.
Vertigo;Abj;Fear, Mind-Affecting;2;1 standard action;0 ft.;Target;One living creature;1 day;Will disbelief;Subject creature must succeed on a DC 10 Balance check to move each round.
Vertigo Field;Illu;;3;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;1 round/level;Fortitude partial;Creatures have 20% miss chance and possibly become nauseated.
Vile Death;Conj;Evil;9;1 hour;Touch;Target;One corporeal undead creature;Permanent (D);None;Undead creature gains fiendish template.
Vile Lance;Evoc;Evil;3;1 standard action;Touch;Effect;One shortspear;10 min./level;;Creates +2 shortspear that deals vile damage.
Vipergout;Conj;Varies;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;1d4+3 summoned creatures;1 round/level;None;You spit forth celestial or fiendish vipers that attack your foes.
Visage of the Dead;Necr;;2;1 standard action;Personal;Target;You;10 min./level;None (harmless);Look like you are dead, gain some bonuses
Viscid Glob;Conj;;5;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 hour/level;Reflex negates;Ranged touch attack hurls 5-ft.-diameter glob of glue at target.
Vision;Div;;7;1 standard action;Personal;Target;You;See text;;As legend lore, but quicker and strenuous.
Vitrify;Tran;Earth;7;1 standard action;Medium (100 ft. + 10 ft./level);Area;Up to one 10-ft. cube/5 levels (S);Permanent;See text;Melts sand into glass.
Voice of the Dragon;Tran;;4;1 standard action;Personal;Target;You;10 min./level (D);;+10 on Bluff, Diplomacy, and Intimidate checks
Volcanic Storm;Conj;Fire;7;1 standard action;Long (400 ft. + 40 ft./level);Area;30-ft.-radius spread;3 rounds;See text;Wind, Rocks, and lava sweep an area.
Vortex of Teeth;Evoc;Force;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;Hollow cylinder (40-ft. radius, 20 ft. high, with a 5-ft.-radius safe zone at the center);1 round/level (D);None;3d8 points of damage due to force per round to all creatures in the area.
Vulnerability;Tran;;5;1 standard action;Touch;Target;Creature touched;1 round/level;Will negates;Reduces an opponent's damage reduction.
Wages of Sin;Ench;Good, Mind-Affecting;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One evil creature/level;1 round/level;Will negates;Evil creatures attack other evil creatures.
Wail of the Banshee;Necr;Sonic, Death, Ectomancy;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;One living creature/level within a 40-ft.-radius spread;Instantaneous;Fortitude negates;Kills one creature/level.
Walk the Mountain's Path;Tran;;3;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);You gain the agility of a mountain goat.
Wall of Dispel Magic;Abj;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;A plane of dispel magic whose area is up to 10-ft. square/level.;1 min./level;None;Creatures passing through a transparent wall becomes subject of targeted dispel magic.
Wall of Force;Evoc;Force;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Wall whose area is up to one 10-ft. square/level;1 round/level (D);None;Wall is immune to damage.
